Jays.USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,MaxOfMaxOfCensusDate
1423-42745,S-WL,F,Y,39,5/16/1983,10/14/1986
1423-42745,S-WL,F,Y,39,5/16/1983,10/14/1986
1423-42745,S-WL,F,Y,39,5/16/1983,10/14/1986
1423-42746,S-RL,,Y,39,5/16/1983,7/20/1983
1423-42746,S-RL,,Y,39,5/16/1983,7/20/1983
1423-42746,S-RL,,Y,39,5/16/1983,7/20/1983
1433-93020,-LSA,,Y,45,6/19/1986,11/13/1986
1433-93020,-LSA,,Y,45,6/19/1986,11/13/1986
1433-93020,-LSA,,Y,45,6/19/1986,11/13/1986
1433-93021,-FSA,,Y,45,6/19/1986,11/13/1986
1433-93021,-FSA,,Y,45,6/19/1986,11/13/1986
1433-93021,-FSA,,Y,45,6/19/1986,11/13/1986
1433-87464,ASL-,,Y,50,5/8/1985,9/10/1985
1433-87464,ASL-,,Y,50,5/8/1985,9/10/1985
1433-87464,ASL-,,Y,50,5/8/1985,9/10/1985
1433-87465,FSn-,,Y,50,5/8/1985,5/14/1985
1433-87465,FSn-,,Y,50,5/8/1985,5/14/1985
1433-87466,ASn-,,Y,50,5/8/1985,5/14/1985
1433-87466,ASn-,,Y,50,5/8/1985,5/14/1985
1603-17227,-WCA,F,Y,56,5/3/2006,7/19/2007
1603-17227,-WCA,F,Y,56,5/3/2006,7/19/2007
1603-17227,-WCA,F,Y,56,5/3/2006,7/19/2007
1603-17227,-WCA,F,Y,56,5/3/2006,7/19/2007
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1713-49395,-RCA,M,Y,56,5/3/2006,10/14/2015
1603-17229,-GCA,F,Y,56,5/3/2006,10/16/2007
1603-17229,-GCA,F,Y,56,5/3/2006,10/16/2007
1603-17229,-GCA,F,Y,56,5/3/2006,10/16/2007
1603-17229,-GCA,F,Y,56,5/3/2006,10/16/2007
1453-78269,-OZn,,Y,58,4/29/1996,5/14/1996
1453-78269,-OZn,,Y,58,4/29/1996,5/14/1996
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78270,-LZR,F,Y,58,4/29/1996,3/13/2007
1453-78271,-FZR,,Y,58,4/29/1996,10/10/1996
1453-78271,-FZR,,Y,58,4/29/1996,10/10/1996
1453-78271,-FZR,,Y,58,4/29/1996,10/10/1996
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63572,Z-FB,F,Y,59,5/11/1993,6/11/1997
1453-63573,Z-AB,F,Y,59,5/11/1993,2/12/1995
1453-63573,Z-AB,F,Y,59,5/11/1993,2/12/1995
1453-63573,Z-AB,F,Y,59,5/11/1993,2/12/1995
1453-63573,Z-AB,F,Y,59,5/11/1993,2/12/1995
1453-39042,OWZ=,M,Y,72,4/16/1991,2/18/1992
1453-39042,OWZ=,M,Y,72,4/16/1991,2/18/1992
1453-39042,OWZ=,M,Y,72,4/16/1991,2/18/1992
1063-43103,OC-A,F,Y,73,5/2/2002,3/12/2003
1063-43103,OC-A,F,Y,73,5/2/2002,3/12/2003
1063-43103,OC-A,F,Y,73,5/2/2002,3/12/2003
1043-44228,ZWn-,,Y,77,4/21/1997,5/13/1997
1043-44228,ZWn-,,Y,77,4/21/1997,5/13/1997
1043-44229,ZRR-,,Y,77,4/21/1997,9/13/1997
1043-44229,ZRR-,,Y,77,4/21/1997,9/13/1997
1043-44229,ZRR-,,Y,77,4/21/1997,9/13/1997
1453-72769,ZW-W,,Y,79,5/11/1994,8/12/1994
1453-72769,ZW-W,,Y,79,5/11/1994,8/12/1994
1453-72769,ZW-W,,Y,79,5/11/1994,8/12/1994
1453-72771,ZG-W,,Y,79,5/11/1994,8/12/1994
1453-72771,ZG-W,,Y,79,5/11/1994,8/12/1994
1453-72771,ZG-W,,Y,79,5/11/1994,8/12/1994
1513-50176,PG-C,F,Y,81,4/30/1999,7/14/1999
1513-50176,PG-C,F,Y,81,4/30/1999,7/14/1999
1513-50176,PG-C,F,Y,81,4/30/1999,7/14/1999
1513-50177,OG-C,F,Y,81,4/30/1999,7/14/1999
1513-50177,OG-C,F,Y,81,4/30/1999,7/14/1999
1513-50177,OG-C,F,Y,81,4/30/1999,7/14/1999
1423-42832,SO-Y,,Y,88,5/4/1984,11/18/1984
1423-42832,SO-Y,,Y,88,5/4/1984,11/18/1984
1423-42832,SO-Y,,Y,88,5/4/1984,11/18/1984
1423-42834,SF-Y,,Y,88,5/4/1984,6/11/1984
1423-42834,SF-Y,,Y,88,5/4/1984,6/11/1984
1423-42834,SF-Y,,Y,88,5/4/1984,6/11/1984
1453-78381,-WZG,,Y,93,6/5/1996,9/10/2002
1453-78381,-WZG,,Y,93,6/5/1996,9/10/2002
1453-78381,-WZG,,Y,93,6/5/1996,9/10/2002
1453-78382,-RZn,,Y,93,6/5/1996,6/12/1996
1453-78382,-RZn,,Y,93,6/5/1996,6/12/1996
1453-78383,-GZn,,Y,93,6/5/1996,6/12/1996
1453-78383,-GZn,,Y,93,6/5/1996,6/12/1996
1043-44293,ZAG-,F,Y,100,5/9/1997,6/14/2001
1043-44293,ZAG-,F,Y,100,5/9/1997,6/14/2001
1043-44293,ZAG-,F,Y,100,5/9/1997,6/14/2001
1043-44293,ZAG-,F,Y,100,5/9/1997,6/14/2001
1043-44293,ZAG-,F,Y,100,5/9/1997,6/14/2001
1043-44293,ZAG-,F,Y,100,5/9/1997,6/14/2001
1043-44293,ZAG-,F,Y,100,5/9/1997,6/14/2001
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1043-80161,-SBP,M,Y,101,5/9/1988,1/18/1992
1453-63558,Z-RP,F,Y,108,5/8/1993,8/12/1994
1453-63558,Z-RP,F,Y,108,5/8/1993,8/12/1994
1453-63558,Z-RP,F,Y,108,5/8/1993,8/12/1994
1453-63558,Z-RP,F,Y,108,5/8/1993,8/12/1994
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63559,Z-GP,M,Y,108,5/8/1993,4/10/2002
1453-63560,Z-YP,,Y,108,5/8/1993,7/15/1993
1453-63560,Z-YP,,Y,108,5/8/1993,7/15/1993
1453-63560,Z-YP,,Y,108,5/8/1993,7/15/1993
1453-72767,ZB-P,,Y,110,5/8/1994,9/16/1994
1453-72767,ZB-P,,Y,110,5/8/1994,9/16/1994
1453-72767,ZB-P,,Y,110,5/8/1994,9/16/1994
1453-72768,ZP-P,,Y,110,5/8/1994,1/13/1995
1453-72768,ZP-P,,Y,110,5/8/1994,1/13/1995
1453-72768,ZP-P,,Y,110,5/8/1994,1/13/1995
1573-66582,RCn-,F,Y,121,4/18/2005,5/11/2005
1573-66582,RCn-,F,Y,121,4/18/2005,5/11/2005
1573-66583,GCW-,M,Y,121,4/18/2005,7/13/2006
1573-66583,GCW-,M,Y,121,4/18/2005,7/13/2006
1573-66583,GCW-,M,Y,121,4/18/2005,7/13/2006
1573-66583,GCW-,M,Y,121,4/18/2005,7/13/2006
1573-66584,HCW-,M,Y,121,4/18/2005,4/12/2006
1573-66584,HCW-,M,Y,121,4/18/2005,4/12/2006
1573-66584,HCW-,M,Y,121,4/18/2005,4/12/2006
1573-66584,HCW-,M,Y,121,4/18/2005,4/12/2006
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1063-42859,OC-W,F,Y,123,4/24/2002,7/17/2009
1513-50951,FnC-,F,Y,124,5/14/2001,5/14/2001
1513-50951,FnC-,F,Y,124,5/14/2001,5/14/2001
1513-50952,AnC-,M,Y,124,5/14/2001,5/14/2001
1513-50952,AnC-,M,Y,124,5/14/2001,5/14/2001
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66092,CL-G,M,Y,126,5/16/2004,10/15/2014
1573-66532,CF-G,M,Y,126,5/16/2004,9/13/2004
1573-66532,CF-G,M,Y,126,5/16/2004,9/13/2004
1573-66532,CF-G,M,Y,126,5/16/2004,9/13/2004
1573-66533,CA-G,M,Y,126,5/16/2004,7/15/2004
1573-66533,CA-G,M,Y,126,5/16/2004,7/15/2004
1603-51748,H-CLL,F,Y,128,5/22/2008,8/18/2008
1603-51748,H-CLL,F,Y,128,5/22/2008,8/18/2008
1603-51748,H-CLL,F,Y,128,5/22/2008,8/18/2008
1603-51749,H-CLH,F,Y,128,5/22/2008,8/18/2008
1603-51749,H-CLH,F,Y,128,5/22/2008,8/18/2008
1603-51749,H-CLH,F,Y,128,5/22/2008,8/18/2008
1603-51750,H-CLA,F,Y,128,5/22/2008,8/18/2008
1603-51750,H-CLA,F,Y,128,5/22/2008,8/18/2008
1603-51750,H-CLA,F,Y,128,5/22/2008,8/18/2008
1603-16644,-PCW,F,Y,131,4/22/2006,8/16/2007
1603-16644,-PCW,F,Y,131,4/22/2006,8/16/2007
1603-16644,-PCW,F,Y,131,4/22/2006,8/16/2007
1603-16644,-PCW,F,Y,131,4/22/2006,8/16/2007
1603-16645,-OCW,F,Y,131,4/22/2006,4/15/2008
1603-16645,-OCW,F,Y,131,4/22/2006,4/15/2008
1603-16645,-OCW,F,Y,131,4/22/2006,4/15/2008
1603-16645,-OCW,F,Y,131,4/22/2006,4/15/2008
1603-16645,-OCW,F,Y,131,4/22/2006,4/15/2008
1423-42794,SP-O,,Y,142,4/28/1984,6/11/1984
1423-42794,SP-O,,Y,142,4/28/1984,6/11/1984
1423-42794,SP-O,,Y,142,4/28/1984,6/11/1984
1423-42795,SO-O,F,Y,142,4/28/1984,9/13/1984
1423-42795,SO-O,F,Y,142,4/28/1984,9/13/1984
1423-42795,SO-O,F,Y,142,4/28/1984,9/13/1984
1063-42820,YC-n,M,Y,147,4/14/2002,5/13/2002
1063-42820,YC-n,M,Y,147,4/14/2002,5/13/2002
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14420,-SWA,M,Y,149,6/12/1988,6/15/1998
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14421,-SRA,F,Y,149,6/12/1988,4/14/1993
1053-14423,-SYA,M,Y,149,6/12/1988,7/12/1988
1053-14423,-SYA,M,Y,149,6/12/1988,7/12/1988
1423-42674,S-Wn,,Y,152,4/21/1983,5/10/1983
1423-42674,S-Wn,,Y,152,4/21/1983,5/10/1983
1603-51723,-CAP,F,Y,153,5/11/2008,9/16/2008
1603-51723,-CAP,F,Y,153,5/11/2008,9/16/2008
1603-51723,-CAP,F,Y,153,5/11/2008,9/16/2008
1603-51725,-CAA,F,Y,153,5/11/2008,6/11/2009
1603-51725,-CAA,F,Y,153,5/11/2008,6/11/2009
1603-51725,-CAA,F,Y,153,5/11/2008,6/11/2009
1603-51725,-CAA,F,Y,153,5/11/2008,6/11/2009
1603-51725,-CAA,F,Y,153,5/11/2008,6/11/2009
1573-65926,CO-R,F,Y,157,4/21/2004,6/14/2004
1573-65926,CO-R,F,Y,157,4/21/2004,6/14/2004
1573-65927,CL-R,F,Y,157,4/21/2004,7/19/2007
1573-65927,CL-R,F,Y,157,4/21/2004,7/19/2007
1573-65927,CL-R,F,Y,157,4/21/2004,7/19/2007
1573-65927,CL-R,F,Y,157,4/21/2004,7/19/2007
1573-65927,CL-R,F,Y,157,4/21/2004,7/19/2007
1573-65927,CL-R,F,Y,157,4/21/2004,7/19/2007
1573-65928,CF-R,M,Y,157,4/21/2004,6/14/2004
1573-65928,CF-R,M,Y,157,4/21/2004,6/14/2004
1453-39142,APZ-,,Y,160,5/29/1991,11/13/1991
1453-39142,APZ-,,Y,160,5/29/1991,11/13/1991
1453-39142,APZ-,,Y,160,5/29/1991,11/13/1991
1063-43181,BC-n,F,Y,166,6/2/2002,6/13/2002
1063-43181,BC-n,F,Y,166,6/2/2002,6/13/2002
1063-43182,PC-P,M,Y,166,6/2/2002,1/13/2003
1063-43182,PC-P,M,Y,166,6/2/2002,1/13/2003
