JayID,Jays.USFWBand,Sex,AgeKnown,NatalNest,FBreeder,Jays_1.USFWBand,MBreeder,Jays_2.USFWBand,HatchDate,MeasDate,Expr1,LastObsDate,FldgDate
S-RB,1423-42697,F,Y,BEND831,SWW-,793-09806,-RSW,793-09727,4/16/1983,4/27/1983,11,9/13/1984,5/5/1983
WS-L,1383-27290,M,Y,WCOP821,SWR-,793-09815,SW-G,1383-27134,4/8/1982,4/19/1982,11,3/10/1983,4/26/1982
RS-n,1383-27291,,Y,WCOP821,SWR-,793-09815,SW-G,1383-27134,4/8/1982,4/19/1982,11,3/10/1983,4/26/1982
GS-n,1383-27292,,Y,WCOP821,SWR-,793-09815,SW-G,1383-27134,4/8/1982,4/19/1982,11,3/10/1983,4/26/1982
WOS-,1383-27202,M,Y,SORA811,SRG-,793-09827,SGY-,793-09868,3/31/1981,4/11/1981,11,12/11/1981,4/18/1981
ROS-,1383-27203,,Y,SORA811,SRG-,793-09827,SGY-,793-09868,3/31/1981,4/11/1981,11,12/11/1981,4/18/1981
GnS-,1383-27204,,Y,SORA811,SRG-,793-09827,SGY-,793-09868,3/31/1981,4/11/1981,11,12/11/1981,4/18/1981
ASO=,1433-92911,F,Y,SCOP852,SGG-,793-09828,S-PP,1423-42784,5/24/1985,6/4/1985,11,12/12/1987,6/10/1985
SWn-,1433-93067,,Y,SCOP871,SGG-,793-09828,S-PP,1423-42784,4/15/1987,4/26/1987,11,12/12/1987,5/3/1987
SRR-,1433-93068,F,Y,SCOP871,SGG-,793-09828,S-PP,1423-42784,4/15/1987,4/26/1987,11,12/12/1987,5/3/1987
SGR-,1433-93069,M,Y,SCOP871,SGG-,793-09828,S-PP,1423-42784,4/15/1987,4/26/1987,11,12/12/1987,5/3/1987
SYn-,1433-93070,,Y,SCOP871,SGG-,793-09828,S-PP,1423-42784,4/15/1987,4/26/1987,11,12/12/1987,5/3/1987
S-On,1423-42705,,Y,SCOP831,SGG-,793-09828,Y-PZ,1423-42820,4/18/1983,4/29/1983,11,12/12/1987,5/6/1983
S-LL,1423-42706,M,Y,SCOP831,SGG-,793-09828,Y-PZ,1423-42820,4/18/1983,4/29/1983,11,12/12/1987,5/6/1983
S-FL,1423-42707,F,Y,SCOP831,SGG-,793-09828,Y-PZ,1423-42820,4/18/1983,4/29/1983,11,12/12/1987,5/6/1983
S-An,1423-42708,,Y,SCOP831,SGG-,793-09828,Y-PZ,1423-42820,4/18/1983,4/29/1983,11,12/12/1987,5/6/1983
WS-F,1423-42617,F,Y,SCOP821,SGG-,793-09828,Y-PZ,1423-42820,4/17/1982,4/28/1982,11,12/12/1987,5/4/1982
RS-F,1423-42618,F,Y,SCOP821,SGG-,793-09828,Y-PZ,1423-42820,4/17/1982,4/28/1982,11,12/12/1987,5/4/1982
GS-F,1423-42619,F,Y,SCOP821,SGG-,793-09828,Y-PZ,1423-42820,4/17/1982,4/28/1982,11,12/12/1987,5/4/1982
SL-Y,1423-42821,F,Y,SCOP841,SGG-,793-09828,Y-PZ,1423-42820,4/13/1984,4/24/1984,11,12/12/1987,5/1/1984
SF-n,1423-42822,,Y,SCOP841,SGG-,793-09828,Y-PZ,1423-42820,4/13/1984,4/24/1984,11,12/12/1987,5/1/1984
SA-Y,1423-42823,F,Y,SCOP841,SGG-,793-09828,Y-PZ,1423-42820,4/13/1984,4/24/1984,11,12/12/1987,5/1/1984
RYS-,1383-27213,,Y,BAYR811,SBR-,793-09838,SRW-,793-09807,4/10/1981,4/21/1981,11,6/10/1986,4/29/1981
GYS-,1383-27214,F,Y,BAYR811,SBR-,793-09838,SRW-,793-09807,4/10/1981,4/21/1981,11,6/10/1986,4/29/1981
GS-n,1423-42634,,Y,XRDS821,SBR-,793-09838,-SLB,1323-63767,4/19/1982,4/30/1982,11,6/10/1986,5/8/1982
YS-A,1423-42635,F,Y,XRDS821,SBR-,793-09838,-SLB,1323-63767,4/19/1982,4/30/1982,11,6/10/1986,5/8/1982
S-Wn,1423-42687,,Y,XRDS831,SBR-,793-09838,-SLB,1323-63767,4/15/1983,4/26/1983,11,6/10/1986,5/5/1983
S-RP,1423-42688,,Y,XRDS831,SBR-,793-09838,-SLB,1323-63767,4/15/1983,4/26/1983,11,6/10/1986,5/5/1983
S-WP,1423-42702,,Y,POLA831,P-SY,793-09880,-GSW,793-09760,4/18/1983,4/29/1983,11,7/20/1983,5/6/1983
S-Rn,1423-42703,,Y,POLA831,P-SY,793-09880,-GSW,793-09760,4/18/1983,4/29/1983,11,7/20/1983,5/6/1983
S-GP,1423-42704,,Y,POLA831,P-SY,793-09880,-GSW,793-09760,4/18/1983,4/29/1983,11,7/20/1983,5/6/1983
LS-O,1423-42631,,Y,ANNI821,WS-B,1013-32380,FSP-,1163-94383,4/19/1982,4/30/1982,11,6/11/1984,5/7/1982
FS-O,1423-42632,F,Y,ANNI821,WS-B,1013-32380,FSP-,1163-94383,4/19/1982,4/30/1982,11,6/11/1984,5/7/1982
YS-O,1423-42633,F,Y,ANNI821,WS-B,1013-32380,FSP-,1163-94383,4/19/1982,4/30/1982,11,6/11/1984,5/7/1982
SW-n,1423-42816,,Y,ANNI841,WS-B,1013-32380,FSP-,1163-94383,4/12/1984,4/23/1984,11,6/11/1984,4/30/1984
SR-n,1423-42817,,Y,ANNI841,WS-B,1013-32380,FSP-,1163-94383,4/12/1984,4/23/1984,11,6/11/1984,4/30/1984
SG-n,1423-42818,,Y,ANNI841,WS-B,1013-32380,FSP-,1163-94383,4/12/1984,4/23/1984,11,6/11/1984,4/30/1984
BW-C,1513-50155,F,Y,BALD992,BZ-W,1013-63312,Z-PL,1453-63592,4/5/1999,4/16/1999,11,11/13/2000,4/22/1999
PW-C,1513-50156,M,Y,BALD992,BZ-W,1013-63312,Z-PL,1453-63592,4/5/1999,4/16/1999,11,11/13/2000,4/22/1999
OW-C,1513-50157,M,Y,BALD992,BZ-W,1013-63312,Z-PL,1453-63592,4/5/1999,4/16/1999,11,11/13/2000,4/22/1999
-ZBB,1043-90527,F,Y,BALD981,BZ-W,1013-63312,Z-PL,1453-63592,5/4/1998,5/15/1998,11,11/13/2000,5/22/1998
-ZPB,1043-90528,,Y,BALD981,BZ-W,1013-63312,Z-PL,1453-63592,5/4/1998,5/15/1998,11,11/13/2000,5/22/1998
-ZOB,1043-90529,,Y,BALD981,BZ-W,1013-63312,Z-PL,1453-63592,5/4/1998,5/15/1998,11,11/13/2000,5/22/1998
ZOn-,1043-44277,,Y,WWSX971,BZ-W,1013-63312,ZF-B,1453-78056,4/12/1997,4/23/1997,11,11/13/2000,5/1/1997
ZLn-,1043-44278,,Y,WWSX971,BZ-W,1013-63312,ZF-B,1453-78056,4/12/1997,4/23/1997,11,11/13/2000,5/1/1997
ZFP-,1043-44279,,Y,WWSX971,BZ-W,1013-63312,ZF-B,1453-78056,4/12/1997,4/23/1997,11,11/13/2000,5/1/1997
-WZn,1453-78392,,Y,WWSX963,BZ-W,1013-63312,-PGZ,1053-56766,5/24/1996,6/4/1996,11,11/13/2000,6/12/1996
-RZF,1453-78393,M,Y,WWSX963,BZ-W,1013-63312,-PGZ,1053-56766,5/24/1996,6/4/1996,11,11/13/2000,6/12/1996
-GZn,1453-78394,,Y,WWSX963,BZ-W,1013-63312,-PGZ,1053-56766,5/24/1996,6/4/1996,11,11/13/2000,6/12/1996
-YZF,1453-78395,,Y,WWSX963,BZ-W,1013-63312,-PGZ,1053-56766,5/24/1996,6/4/1996,11,11/13/2000,6/12/1996
WZG-,1453-78147,,Y,NNWX951,PZ-W,1013-63313,-GWZ,1453-39003,5/1/1995,5/12/1995,11,1/14/1998,5/18/1995
RZG-,1453-78148,F,Y,NNWX951,PZ-W,1013-63313,-GWZ,1453-39003,5/1/1995,5/12/1995,11,1/14/1998,5/18/1995
-BZP,1063-43190,F,Y,NNWX962,PZ-W,1013-63313,-GWZ,1453-39003,5/31/1996,6/11/1996,11,1/14/1998,6/18/1996
-PZn,1453-78398,,Y,NNWX962,PZ-W,1013-63313,-GWZ,1453-39003,5/31/1996,6/11/1996,11,1/14/1998,6/18/1996
-OZn,1453-78399,,Y,NNWX962,PZ-W,1013-63313,-GWZ,1453-39003,5/31/1996,6/11/1996,11,1/14/1998,6/18/1996
ZLn-,1163-68220,,Y,NNWX972,PZ-W,1013-63313,-GWZ,1453-39003,5/17/1997,5/28/1997,11,1/14/1998,6/4/1997
ZFn-,1163-68221,,Y,NNWX972,PZ-W,1013-63313,-GWZ,1453-39003,5/17/1997,5/28/1997,11,1/14/1998,6/4/1997
ZW-G,1453-72778,M,Y,MRGO942,WOZ=,1013-63346,Y-RM,1453-57411,5/4/1994,5/15/1994,11,3/12/2000,5/18/1994
ZR-G,1453-72779,F,Y,MRGO942,WOZ=,1013-63346,Y-RM,1453-57411,5/4/1994,5/15/1994,11,3/12/2000,5/18/1994
-YZn,1453-78284,,Y,MRGO961,WOZ=,1013-63346,Y-RM,1453-57411,4/14/1996,4/25/1996,11,3/12/2000,4/30/1996
-BZY,1453-78285,M,Y,MRGO961,WOZ=,1013-63346,Y-RM,1453-57411,4/14/1996,4/25/1996,11,3/12/2000,4/30/1996
-PZY,1453-78286,F,Y,MRGO961,WOZ=,1013-63346,Y-RM,1453-57411,4/14/1996,4/25/1996,11,3/12/2000,4/30/1996
ZWG-,1043-44259,,Y,MRGO971,WOZ=,1013-63346,Y-RM,1453-57411,4/9/1997,4/20/1997,11,3/12/2000,4/29/1997
ZRn-,1043-44260,,Y,MRGO971,WOZ=,1013-63346,Y-RM,1453-57411,4/9/1997,4/20/1997,11,3/12/2000,4/29/1997
ZGn-,1043-44261,,Y,MRGO971,WOZ=,1013-63346,Y-RM,1453-57411,4/9/1997,4/20/1997,11,3/12/2000,4/29/1997
OB-C,1513-50148,M,Y,MRGO992,WOZ=,1013-63346,Y-RM,1453-57411,4/2/1999,4/13/1999,11,3/12/2000,4/18/1999
-WZY,1453-78369,,Y,N7RD963,YZ-L,1013-63355,-SW_,,5/13/1996,5/24/1996,11,7/11/2002,5/30/1996
-RZY,1453-78370,M,Y,N7RD963,YZ-L,1013-63355,-SW_,,5/13/1996,5/24/1996,11,7/11/2002,5/30/1996
-GZn,1453-78371,,Y,N7RD963,YZ-L,1013-63355,-SW_,,5/13/1996,5/24/1996,11,7/11/2002,5/30/1996
-YZY,1453-78372,F,Y,N7RD963,YZ-L,1013-63355,-SW_,,5/13/1996,5/24/1996,11,7/11/2002,5/30/1996
BR-C,1513-50161,F,Y,N7RD992,YZ-L,1013-63355,ZO-L,1453-78107,4/7/1999,4/18/1999,11,7/11/2002,4/24/1999
Pn-C,1513-50162,M,Y,N7RD992,YZ-L,1013-63355,ZO-L,1453-78107,4/7/1999,4/18/1999,11,7/11/2002,4/24/1999
On-C,1513-50163,M,Y,N7RD992,YZ-L,1013-63355,ZO-L,1453-78107,4/7/1999,4/18/1999,11,7/11/2002,4/24/1999
LR-C,1513-50164,F,Y,N7RD992,YZ-L,1013-63355,ZO-L,1453-78107,4/7/1999,4/18/1999,11,7/11/2002,4/24/1999
ZL-n,1453-72775,,Y,NBEN941,YZ-L,1013-63355,Z-AF,1453-63514,4/29/1994,5/10/1994,11,7/11/2002,5/17/1994
ZF-Y,1453-72776,,Y,NBEN941,YZ-L,1013-63355,Z-AF,1453-63514,4/29/1994,5/10/1994,11,7/11/2002,5/17/1994
ZA-Y,1453-72777,F,Y,NBEN941,YZ-L,1013-63355,Z-AF,1453-63514,4/29/1994,5/10/1994,11,7/11/2002,5/17/1994
LZn-,1453-78138,,Y,YTRE951,PZ-F,1013-63366,BPZ-,1453-39091,4/26/1995,5/7/1995,11,9/13/1997,5/14/1995
FZn-,1453-78139,,Y,YTRE951,PZ-F,1013-63366,BPZ-,1453-39091,4/26/1995,5/7/1995,11,9/13/1997,5/14/1995
AZW-,1453-78140,M,Y,YTRE951,PZ-F,1013-63366,BPZ-,1453-39091,4/26/1995,5/7/1995,11,9/13/1997,5/14/1995
-WZW,1453-78307,F,Y,YTRE961,PZ-F,1013-63366,Z-WG,1453-63676,4/19/1996,4/30/1996,11,9/13/1997,5/7/1996
-RZn,1453-78308,,Y,YTRE961,PZ-F,1013-63366,Z-WG,1453-63676,4/19/1996,4/30/1996,11,9/13/1997,5/7/1996
-GZW,1453-78309,,Y,YTRE961,PZ-F,1013-63366,Z-WG,1453-63676,4/19/1996,4/30/1996,11,9/13/1997,5/7/1996
ZL-R,1453-72735,M,Y,SORA941,AZ-R,1013-63368,RSL-,1433-87426,4/11/1994,4/22/1994,11,2/12/1995,4/27/1994
ZF-n,1453-72736,,Y,SORA941,AZ-R,1013-63368,RSL-,1433-87426,4/11/1994,4/22/1994,11,2/12/1995,4/27/1994
LB-C,1513-50308,F,Y,BUBO991,F-OM,1043-44206,GZB-,1453-78163,4/22/1999,5/3/1999,11,7/14/1999,5/8/1999
FB-C,1513-50309,F,Y,BUBO991,F-OM,1043-44206,GZB-,1453-78163,4/22/1999,5/3/1999,11,7/14/1999,5/8/1999
An-C,1513-50310,F,Y,BUBO991,F-OM,1043-44206,GZB-,1453-78163,4/22/1999,5/3/1999,11,7/14/1999,5/8/1999
-ZGn,1043-90552,,Y,BUBO981,F-OM,1043-44206,-WZR,1453-78326,5/19/1998,5/30/1998,11,7/14/1999,6/5/1998
-ZYn,1043-90553,,Y,BUBO981,F-OM,1043-44206,-WZR,1453-78326,5/19/1998,5/30/1998,11,7/14/1999,6/5/1998
ZAR-,1043-44290,F,Y,HELP971,F-LM,1043-44210,GZW-,1453-78124,4/18/1997,4/29/1997,11,9/18/1999,5/6/1997
LO-C,1513-50196,F,Y,HELP991,F-LM,1043-44210,-AGZ,1053-56788,4/15/1999,4/26/1999,11,9/18/1999,5/1/1999
Fn-C,1513-50197,M,Y,HELP991,F-LM,1043-44210,-AGZ,1053-56788,4/15/1999,4/26/1999,11,9/18/1999,5/1/1999
An-C,1513-50198,M,Y,HELP991,F-LM,1043-44210,-AGZ,1053-56788,4/15/1999,4/26/1999,11,9/18/1999,5/1/1999
RY-C,1513-50311,M,Y,SFLC992,ZWR-,1043-44220,ZFF-U,1513-02004,4/23/1999,5/4/1999,11,4/11/2003,5/11/1999
Gn-C,1513-50312,M,Y,SFLC992,ZWR-,1043-44220,ZFF-U,1513-02004,4/23/1999,5/4/1999,11,4/11/2003,5/11/1999
YY-C,1513-50313,F,Y,SFLC992,ZWR-,1043-44220,ZFF-U,1513-02004,4/23/1999,5/4/1999,11,4/11/2003,5/11/1999
LC-B,1063-42877,F,Y,SFLC022,ZWR-,1043-44220,ZFF-U,1513-02004,4/9/2002,4/20/2002,11,4/11/2003,4/25/2002
FC-B,1063-42878,M,Y,SFLC022,ZWR-,1043-44220,ZFF-U,1513-02004,4/9/2002,4/20/2002,11,4/11/2003,4/25/2002
AC-B,1063-42879,F,Y,SFLC022,ZWR-,1043-44220,ZFF-U,1513-02004,4/9/2002,4/20/2002,11,4/11/2003,4/25/2002
-OYC,1513-50731,M,Y,SFLC001,ZWR-,1043-44220,ZFF-U,1513-02004,4/15/2000,4/26/2000,11,4/11/2003,5/3/2000
-LYC,1513-50732,M,Y,SFLC001,ZWR-,1043-44220,ZFF-U,1513-02004,4/15/2000,4/26/2000,11,4/11/2003,5/3/2000
-FYC,1513-50733,F,Y,SFLC001,ZWR-,1043-44220,ZFF-U,1513-02004,4/15/2000,4/26/2000,11,4/11/2003,5/3/2000
LC-O,1063-42848,M,Y,HARY021,ZAW-,1043-44248,-LWC,1513-50798,4/5/2002,4/16/2002,11,4/11/2000,4/25/2002
FC-O,1063-42849,M,Y,HARY021,ZAW-,1043-44248,-LWC,1513-50798,4/5/2002,4/16/2002,11,4/11/2000,4/25/2002
AC-O,1063-42850,F,Y,HARY021,ZAW-,1043-44248,-LWC,1513-50798,4/5/2002,4/16/2002,11,4/11/2000,4/25/2002
-WnZ,1453-38956,F,Y,HICR902,R-PC,1043-80103,P-FZ,1433-87427,5/8/1990,5/19/1990,11,4/15/1991,5/25/1990
-RYZ,1453-38957,M,Y,HICR902,R-PC,1043-80103,P-FZ,1433-87427,5/8/1990,5/19/1990,11,4/15/1991,5/25/1990
-GnZ,1453-38958,F,Y,HICR902,R-PC,1043-80103,P-FZ,1433-87427,5/8/1990,5/19/1990,11,4/15/1991,5/25/1990
-YnZ,1453-38959,F,Y,HICR902,R-PC,1043-80103,P-FZ,1433-87427,5/8/1990,5/19/1990,11,4/15/1991,5/25/1990
Pn-Z,1053-56529,F,Y,NO19891,R-PC,1043-80103,R-CR,1433-93149,4/10/1989,4/21/1989,11,4/15/1991,5/1/1989
On-Z,1053-56530,M,Y,NO19891,R-PC,1043-80103,R-CR,1433-93149,4/10/1989,4/21/1989,11,4/15/1991,5/1/1989
Ln-Z,1053-56531,F,Y,NO19891,R-PC,1043-80103,R-CR,1433-93149,4/10/1989,4/21/1989,11,4/15/1991,5/1/1989
Fn-Z,1053-56532,,Y,NO19891,R-PC,1043-80103,R-CR,1433-93149,4/10/1989,4/21/1989,11,4/15/1991,5/1/1989
-WWZ,1053-56757,M,Y,POND901,R-FC,1043-80106,SFW=,1043-80108,3/25/1990,4/5/1990,11,8/13/1992,4/14/1990
-RWZ,1053-56758,,Y,POND901,R-FC,1043-80106,SFW=,1043-80108,3/25/1990,4/5/1990,11,8/13/1992,4/14/1990
-SBA,1043-80166,,Y,POND881,R-FC,1043-80106,-OSA,1433-93034,4/22/1988,5/3/1988,11,8/13/1992,5/10/1988
-SPn,1043-80167,,Y,POND881,R-FC,1043-80106,-OSA,1433-93034,4/22/1988,5/3/1988,11,8/13/1992,5/10/1988
ORZ-,1453-39114,F,Y,PAST912,G-WC,1043-80109,Y-BC,1043-80120,4/15/1991,4/26/1991,11,9/13/1997,5/5/1991
LRZ-,1453-39115,M,Y,PAST912,G-WC,1043-80109,Y-BC,1043-80120,4/15/1991,4/26/1991,11,9/13/1997,5/5/1991
FRZ-,1453-39116,M,Y,PAST912,G-WC,1043-80109,Y-BC,1043-80120,4/15/1991,4/26/1991,11,9/13/1997,5/5/1991
-YnZ,1053-56795,,Y,PAST902,G-WC,1043-80109,Y-BC,1043-80120,4/25/1990,5/6/1990,11,9/13/1997,5/12/1990
-BYZ,1053-56796,,Y,PAST902,G-WC,1043-80109,Y-BC,1043-80120,4/25/1990,5/6/1990,11,9/13/1997,5/12/1990
-PnZ,1053-56797,,Y,PAST902,G-WC,1043-80109,Y-BC,1043-80120,4/25/1990,5/6/1990,11,9/13/1997,5/12/1990
YZY-,1453-78150,F,Y,PAST951,G-WC,1043-80109,Y-BC,1043-80120,5/3/1995,5/14/1995,11,9/13/1997,5/21/1995
BZY-,1453-78151,M,Y,PAST951,G-WC,1043-80109,Y-BC,1043-80120,5/3/1995,5/14/1995,11,9/13/1997,5/21/1995
PZY-,1453-78152,F,Y,PAST951,G-WC,1043-80109,Y-BC,1043-80120,5/3/1995,5/14/1995,11,9/13/1997,5/21/1995
Z-FL,1453-63667,M,Y,PAST933,G-WC,1043-80109,Y-BC,1043-80120,5/22/1993,6/2/1993,11,9/13/1997,6/8/1993
Z-An,1453-63668,,Y,PAST933,G-WC,1043-80109,Y-BC,1043-80120,5/22/1993,6/2/1993,11,9/13/1997,6/8/1993
GZ-R,1433-58398,,Y,PAST921,G-WC,1043-80109,Y-BC,1043-80120,4/24/1992,5/5/1992,11,9/13/1997,5/13/1992
YZ-R,1433-58399,,Y,PAST921,G-WC,1043-80109,Y-BC,1043-80120,4/24/1992,5/5/1992,11,9/13/1997,5/13/1992
BZ-R,1433-58400,F,Y,PAST921,G-WC,1043-80109,Y-BC,1043-80120,4/24/1992,5/5/1992,11,9/13/1997,5/13/1992
WW-Z,1053-56543,F,Y,PAST891,G-WC,1043-80109,Y-BC,1043-80120,4/12/1989,4/23/1989,11,9/13/1997,4/29/1989
Rn-Z,1053-56544,M,Y,PAST891,G-WC,1043-80109,Y-BC,1043-80120,4/12/1989,4/23/1989,11,9/13/1997,4/29/1989
ZG-R,1453-78029,,Y,PAST943,G-WC,1043-80109,Y-BC,1043-80120,5/19/1994,5/30/1994,11,9/13/1997,6/7/1994
ZY-n,1453-78030,,Y,PAST943,G-WC,1043-80109,Y-BC,1043-80120,5/19/1994,5/30/1994,11,9/13/1997,6/7/1994
WO-Z,1053-56506,F,Y,NURS891,G-LC,1043-80113,W-BC,1433-93191,3/21/1989,4/1/1989,11,###############################################################################################################################################################################################################################################################,4/8/1989
Rn-Z,1053-56507,,Y,NURS891,G-LC,1043-80113,W-BC,1433-93191,3/21/1989,4/1/1989,11,###############################################################################################################################################################################################################################################################,4/8/1989
-PWZ,1453-38938,,Y,WNUR901,G-LC,1043-80113,P-LC,1053-14440,5/6/1990,5/17/1990,11,###############################################################################################################################################################################################################################################################,5/24/1990
-OnZ,1453-38939,,Y,WNUR901,G-LC,1043-80113,P-LC,1053-14440,5/6/1990,5/17/1990,11,###############################################################################################################################################################################################################################################################,5/24/1990
-LnZ,1453-38940,,Y,WNUR901,G-LC,1043-80113,P-LC,1053-14440,5/6/1990,5/17/1990,11,###############################################################################################################################################################################################################################################################,5/24/1990
-nnz,1453-38940.1,,Y,WNUR901,G-LC,1043-80113,P-LC,1053-14440,5/6/1990,5/17/1990,11,###############################################################################################################################################################################################################################################################,5/24/1990
Gn-Z,1053-56689,F,Y,SLUM891,G-FC,1043-80114,SLB-,1433-87698,5/4/1989,5/15/1989,11,6/14/1990,5/18/1989
Yn-Z,1053-56690,M,Y,SLUM891,G-FC,1043-80114,SLB-,1433-87698,5/4/1989,5/15/1989,11,6/14/1990,5/18/1989
Bn-Z,1053-56691,F,Y,SLUM891,G-FC,1043-80114,SLB-,1433-87698,5/4/1989,5/15/1989,11,6/14/1990,5/18/1989
WnZ-,1453-39120,M,Y,JERE911,Y-WC,1043-80116,L-FZ,1433-92948,4/16/1991,4/27/1991,11,5/16/1993,5/4/1991
RnZ-,1453-39121,F,Y,JERE911,Y-WC,1043-80116,L-FZ,1433-92948,4/16/1991,4/27/1991,11,5/16/1993,5/4/1991
GYZ-,1453-39122,M,Y,JERE911,Y-WC,1043-80116,L-FZ,1433-92948,4/16/1991,4/27/1991,11,5/16/1993,5/4/1991
Z-Bn,1453-63550,,Y,SWAL932,Y-WC,1043-80116,O-FZ,1433-92930,4/15/1993,4/26/1993,11,5/16/1993,5/6/1993
Z-PB,1453-63551,,Y,SWAL932,Y-WC,1043-80116,O-FZ,1433-92930,4/15/1993,4/26/1993,11,5/16/1993,5/6/1993
Z-OB,1453-63552,F,Y,SWAL932,Y-WC,1043-80116,O-FZ,1433-92930,4/15/1993,4/26/1993,11,5/16/1993,5/6/1993
Z-Ln,1453-63553,,Y,SWAL932,Y-WC,1043-80116,O-FZ,1433-92930,4/15/1993,4/26/1993,11,5/16/1993,5/6/1993
-SAF,1043-80173,,Y,NJCT881,Y-YC,1043-80119,Y-GC,1043-80118,4/26/1988,5/7/1988,11,8/15/1989,5/13/1988
Pn-Z,1053-56709,M,Y,SCOP892,Y-OC,1043-80122,-RSA,1433-58370,5/26/1989,6/6/1989,11,2/18/1992,6/12/1989
OR-Z,1053-56710,F,Y,SCOP892,Y-OC,1043-80122,-RSA,1433-58370,5/26/1989,6/6/1989,11,2/18/1992,6/12/1989
PnZ-,1453-39047,F,Y,SCOP911,Y-OC,1043-80122,-RSA,1433-58370,3/30/1991,4/10/1991,11,2/18/1992,4/18/1991
GOZ-,1453-39048,M,Y,SCOP911,Y-OC,1043-80122,-RSA,1433-58370,3/30/1991,4/10/1991,11,2/18/1992,4/18/1991
LnZ-,1453-39049,M,Y,SCOP911,Y-OC,1043-80122,-RSA,1433-58370,3/30/1991,4/10/1991,11,2/18/1992,4/18/1991
ROZ-,1453-39050,F,Y,SCOP911,Y-OC,1043-80122,-RSA,1433-58370,3/30/1991,4/10/1991,11,2/18/1992,4/18/1991
-AGZ,1053-56788,M,Y,SCOP901,Y-OC,1043-80122,-RSA,1433-58370,4/21/1990,5/2/1990,11,2/18/1992,5/8/1990
-RGZ,1043-90543,F,Y,WCOP901,Y-AC,1043-80124,-SRL,1043-80151,4/25/1990,5/6/1990,11,4/14/1994,5/13/1990
-GGZ,1053-56794,F,Y,WCOP901,Y-AC,1043-80124,-SRL,1043-80151,4/25/1990,5/6/1990,11,4/14/1994,5/13/1990
FZ-R,1013-63367,F,Y,WCOP921,Y-AC,1043-80124,-SRL,1043-80151,5/14/1992,5/25/1992,11,4/14/1994,5/31/1992
AZ-R,1013-63368,F,Y,WCOP921,Y-AC,1043-80124,-SRL,1043-80151,5/14/1992,5/25/1992,11,4/14/1994,5/31/1992
LYZ-,1453-39074,F,Y,WCOP911,Y-AC,1043-80124,-SRL,1043-80151,4/4/1991,4/15/1991,11,4/14/1994,4/22/1991
FYZ-,1453-39075,M,Y,WCOP911,Y-AC,1043-80124,-SRL,1043-80151,4/4/1991,4/15/1991,11,4/14/1994,4/22/1991
AYZ-,1453-39076,F,Y,WCOP911,Y-AC,1043-80124,-SRL,1043-80151,4/4/1991,4/15/1991,11,4/14/1994,4/22/1991
Z-FG,1453-63526,M,Y,BNCH931,-SPO,1043-80130,F-RC,1453-57436,4/6/1993,4/17/1993,11,4/14/1993,4/24/1993
Z-AG,1453-63527,M,Y,BNCH931,-SPO,1043-80130,F-RC,1453-57436,4/6/1993,4/17/1993,11,4/14/1993,4/24/1993
BWZ-,1453-39085,M,Y,MUME911,-SBL,1043-80168,SAP-,1433-93088,4/6/1991,4/17/1991,11,10/13/1992,4/22/1991
