Year,Terr,JayID,Sex,TerrYr,Help,HelpNum
1979,XRDS,B-PS,F,XRDS79,1,3
1979,YTRE,FSY-,F,YTRE79,1,1
1979,YTRE,B-SL,M,YTRE79,1,1
1980,ANNI,WS-B,F,ANNI80,1,1
1980,ANNI,FSP-,M,ANNI80,1,1
1980,BEND,-RSW,M,BEND80,1,1
1980,BEND,SWW-,F,BEND80,1,1
1980,CABS,SY-P,M,CABS80,1,1
1980,CABS,-ASY,F,CABS80,1,1
1980,COPS,L-SG,M,COPS80,1,1
1980,COPS,-PSB,F,COPS80,1,1
1980,FARS,Y-SA,F,FARS80,0,0
1980,FARS,SB=W,M,FARS80,0,0
1980,FIRE,-SYR,F,FIRE80,0,0
1980,FIRE,-SAR,M,FIRE80,0,0
1980,LINX,W-AS,M,LINX80,0,0
1980,LINX,F-SF,F,LINX80,0,0
1980,NBEN,O-SY,F,NBEN80,1,1
1980,NBEN,SPG-,M,NBEN80,1,1
1980,NRID,B-SY,F,NRID80,1,1
1980,NRID,LWS-,M,NRID80,1,1
1980,NWES,A-SA,F,NWES80,1,1
1980,NWES,F-GS,M,NWES80,1,1
1980,PLAZ,SYG-,M,PLAZ80,0,0
1980,PLAZ,P-SL,F,PLAZ80,0,0
1980,PLOT,LL-S,M,PLOT80,1,1
1980,PLOT,BGS-,F,PLOT80,1,1
1980,ROSE,SG-R,M,ROSE80,1,1
1980,ROSE,S-BW,F,ROSE80,1,1
1980,SAND,-SAY,M,SAND80,0,0
1980,SAND,L-SR,F,SAND80,0,0
1980,SORA,SRG-,F,SORA80,1,2
1980,SORA,SGY-,M,SORA80,1,2
1980,SSAN,SBW-,M,SSAN80,0,0
1980,SSAN,O-SP,F,SSAN80,0,0
1980,WCOP,SWR-,F,WCOP80,0,0
1980,WCOP,SW-G,M,WCOP80,0,0
1980,WLIN,L-SW,M,WLIN80,0,0
1980,WLIN,W-BZ,F,WLIN80,0,0
1980,XRDS,-ORS,M,XRDS80,1,1
1980,XRDS,-SLR,F,XRDS80,1,1
1980,YTRE,FSY-,F,YTRE80,0,0
1980,YTRE,B-SL,M,YTRE80,0,0
1981,ANNI,WS-B,F,ANNI81,1,3
1981,ANNI,FSP-,M,ANNI81,1,3
1981,ARCT,G-SF,F,ARCT81,1,2
1981,ARCT,W-WZ,M,ARCT81,1,2
1981,BAYR,SBR-,F,BAYR81,0,0
1981,BAYR,SRW-,M,BAYR81,0,0
1981,BEND,-RSW,M,BEND81,1,2
1981,BEND,SWW-,F,BEND81,1,2
1981,CABS,SY-P,M,CABS81,1,1
1981,CABS,-ASY,F,CABS81,1,1
1981,CACT,F-SL,F,CACT81,1,1
1981,CACT,A-SO,M,CACT81,1,1
1981,COPS,L-SG,M,COPS81,1,1
1981,COPS,-PSB,F,COPS81,1,1
1981,FARS,SB=W,M,FARS81,0,0
1981,FARS,A-SB,F,FARS81,0,0
1981,FIRE,-SAR,M,FIRE81,1,1
1981,FIRE,-SYR,F,FIRE81,1,1
1981,LINS,-SYW,M,LINS81,0,0
1981,LINS,-SAB,F,LINS81,0,0
1981,LINX,F-SF,F,LINX81,1,1
1981,LINX,W-AS,M,LINX81,1,1
1981,NBEN,O-SY,F,NBEN81,1,3
1981,NBEN,SPG-,M,NBEN81,1,3
1981,NRID,B-SY,F,NRID81,1,1
1981,NRID,LWS-,M,NRID81,1,1
1981,NWES,F-GS,M,NWES81,0,0
1981,NWES,A-SA,F,NWES81,0,0
1981,PLAZ,SYG-,M,PLAZ81,1,1
1981,PLAZ,P-SL,F,PLAZ81,1,1
1981,PLOT,BGS-,F,PLOT81,0,0
1981,PLOT,LL-S,M,PLOT81,0,0
1981,POLA,P-SY,F,POLA81,0,0
1981,POLA,POLmm,M,POLA81,0,0
1981,ROSE,S-BW,F,ROSE81,0,0
1981,ROSE,SG-R,M,ROSE81,0,0
1981,SAND,-SAY,M,SAND81,0,0
1981,SAND,L-SR,F,SAND81,0,0
1981,SCOP,SGG-,F,SCOP81,1,1
1981,SCOP,W-RZ,M,SCOP81,1,1
1981,SORA,SRG-,F,SORA81,1,2
1981,SORA,SGY-,M,SORA81,1,2
1981,SSAN,FO-S,F,SSAN81,0,0
1981,SSAN,SBW-,M,SSAN81,0,0
1981,SWES,A-SF,F,SWES81,0,0
1981,SWES,-SPY,M,SWES81,0,0
1981,WCOP,SWR-,F,WCOP81,1,2
1981,WCOP,SW-G,M,WCOP81,1,2
1981,WLIN,W-BZ,F,WLIN81,0,0
1981,WLIN,L-SW,M,WLIN81,0,0
1981,XRDS,-SLR,F,XRDS81,0,0
1981,XRDS,-ORS,M,XRDS81,0,0
1981,YTRE,B-SL,M,YTRE81,0,0
1981,YTRE,FSY-,F,YTRE81,0,0
1982,ANNI,FSP-,M,ANNI82,1,2
1982,ANNI,WS-B,F,ANNI82,1,2
1982,ANYR,SYR-,M,ANYR82,0,0
1982,ANYR,W-PZ,F,ANYR82,0,0
1982,ARCT,-GPS,F,ARCT82,1,3
1982,ARCT,W-WZ,M,ARCT82,1,3
1982,BEND,-RSW,M,BEND82,1,3
1982,BEND,SWW-,F,BEND82,1,3
1982,CABS,SY-P,M,CABS82,0,0
1982,CABS,-ASY,F,CABS82,0,0
1982,CACT,A-SO,M,CACT82,0,0
1982,CACT,F-SL,F,CACT82,0,0
1982,COPS,-PSB,F,COPS82,1,2
1982,COPS,L-SY,M,COPS82,1,2
1982,FARS,SB=W,M,FARS82,1,1
1982,FARS,A-SB,F,FARS82,1,1
1982,FIRE,-SYR,F,FIRE82,0,0
1982,FIRE,-YAS,M,FIRE82,0,0
1982,IBRN,R-LZ,M,IBRN82,0,0
1982,IBRN,-WSR,F,IBRN82,0,0
1982,LINS,-SYW,M,LINS82,0,0
1982,LINS,-SAB,F,LINS82,0,0
1982,NBEN,O-SY,F,NBEN82,1,4
1982,NBEN,SPG-,M,NBEN82,1,4
1982,NNWS,W-LZ,F,NNWS82,0,0
1982,NNWS,R-GZ,M,NNWS82,0,0
1982,NRID,ASB-,M,NRID82,1,4
1982,NRID,B-SY,F,NRID82,1,4
1982,NWES,AY-S,F,NWES82,1,3
1982,NWES,F-GS,M,NWES82,1,3
1982,PLAZ,SYG-,M,PLAZ82,1,1
1982,PLAZ,P-SL,F,PLAZ82,1,1
1982,POLA,P-SY,F,POLA82,1,3
1982,POLA,-GSW,M,POLA82,1,3
1982,ROSE,-BPS,M,ROSE82,0,0
1982,ROSE,YG-S,F,ROSE82,0,0
1982,SAND,-SAY,M,SAND82,1,1
1982,SAND,BGS-,F,SAND82,1,1
1982,SCOP,Y-PZ,M,SCOP82,1,1
1982,SCOP,SGG-,F,SCOP82,1,1
1982,SIXS,L-SF,M,SIXS82,0,0
1982,SIXS,R-AZ,F,SIXS82,0,0
1982,SORA,SGY-,M,SORA82,1,2
1982,SORA,G-PZ,F,SORA82,1,2
1982,SSAN,FO-S,F,SSAN82,1,1
1982,SSAN,SBW-,M,SSAN82,1,1
1982,WCOP,SWR-,F,WCOP82,0,0
1982,WCOP,SW-G,M,WCOP82,0,0
1982,WLIN,L-SW,M,WLIN82,0,0
1982,WLIN,W-BZ,F,WLIN82,0,0
1982,WLIN,WLINm,M,WLIN82,0,0
1982,XRDS,SBR-,F,XRDS82,0,0
1982,XRDS,-SLB,M,XRDS82,0,0
1982,YTRE,FSY-,F,YTRE82,0,0
1982,YTRE,P-SA,M,YTRE82,0,0
1983,ANNI,FSP-,M,ANNI83,1,3
1983,ANNI,WS-B,F,ANNI83,1,3
1983,ANYR,W-PZ,F,ANYR83,1,4
1983,ANYR,SYR-,M,ANYR83,1,4
1983,ARCT,FFS=,M,ARCT83,0,0
1983,ARCT,-GPS,F,ARCT83,0,0
1983,BEND,SWW-,F,BEND83,1,3
1983,BEND,-RSW,M,BEND83,1,3
1983,CABS,SY-P,M,CABS83,0,0
1983,CABS,OFS=,M,CABS83,0,0
1983,CABS,-ASY,F,CABS83,0,0
1983,CACT,A-SO,M,CACT83,1,2
1983,CACT,F-SL,F,CACT83,1,2
1983,COPS,-PSB,F,COPS83,1,2
1983,COPS,L-SY,M,COPS83,1,2
1983,CTRN,R-BZ,M,CTRN83,0,0
1983,CTRN,O-SL,F,CTRN83,0,0
1983,CTRW,R-OZ,F,CTRW83,0,0
1983,CTRW,R-PZ,M,CTRW83,0,0
1983,DBLE,LWS-,M,DBLE83,0,0
1983,DBLE,G-OZ,F,DBLE83,0,0
1983,EBAY,AY-S,F,EBAY83,1,1
1983,EBAY,-WGS,M,EBAY83,1,1
1983,FARS,SB=W,M,FARS83,1,1
1983,FARS,A-SB,F,FARS83,1,1
1983,FIRE,WLS-,F,FIRE83,1,1
1983,FIRE,-YAS,M,FIRE83,1,1
1983,IBRN,-WSR,F,IBRN83,0,0
1983,IBRN,R-LZ,M,IBRN83,0,0
1983,LINS,-SAB,F,LINS83,1,1
1983,LINS,-SYW,M,LINS83,1,1
1983,MILW,G-FZ,F,MILW83,0,0
1983,MILW,P-SA,M,MILW83,0,0
1983,NBEN,SPG-,M,NBEN83,1,1
1983,NBEN,O-SY,F,NBEN83,1,1
1983,NRID,ASB-,M,NRID83,1,1
1983,NRID,B-SY,F,NRID83,1,1
1983,NWES,-OAS,F,NWES83,0,0
1983,NWES,-RPS,M,NWES83,0,0
1983,PLAZ,SYG-,M,PLAZ83,1,4
1983,PLAZ,P-SL,F,PLAZ83,1,4
1983,POLA,P-SY,F,POLA83,1,4
1983,POLA,-GSW,M,POLA83,1,4
1983,ROSE,-BPS,M,ROSE83,0,0
1983,ROSE,YG-S,F,ROSE83,0,0
1983,SAND,BGS-,F,SAND83,1,2
1983,SAND,-SAY,M,SAND83,1,2
1983,SCOP,SGG-,F,SCOP83,1,4
1983,SCOP,Y-PZ,M,SCOP83,1,4
1983,SFLA,A-SL,M,SFLA83,1,3
1983,SFLA,G-LZ,F,SFLA83,1,3
1983,SIXS,L-SF,M,SIXS83,1,1
1983,SIXS,R-AZ,F,SIXS83,1,1
1983,SORA,SGY-,M,SORA83,1,1
1983,SORA,G-PZ,F,SORA83,1,1
1983,SSAN,FO-S,F,SSAN83,1,3
1983,SSAN,SBW-,M,SSAN83,1,3
1983,WCOP,SW-G,M,WCOP83,0,0
1983,WCOP,SWR-,F,WCOP83,0,0
1983,XRDS,SBR-,F,XRDS83,1,3
1983,XRDS,-SLB,M,XRDS83,1,3
1983,YTRE,W-YZ,M,YTRE83,0,0
1983,YTRE,W-GZ,F,YTRE83,0,0
1984,ANNI,WS-B,F,ANNI84,1,1
1984,ANNI,FSP-,M,ANNI84,1,1
1984,ANYR,YPS-,F,ANYR84,0,0
1984,ANYR,WS=O,M,ANYR84,0,0
1984,ARCT,FFS=,M,ARCT84,0,0
1984,ARCT,-GPS,F,ARCT84,0,0
1984,BEND,-RSW,M,BEND84,1,1
1984,BEND,SWW-,F,BEND84,1,1
1984,CABS,OFS=,M,CABS84,1,1
1984,CABS,-ASY,F,CABS84,1,1
1984,CACT,A-SO,M,CACT84,1,1
1984,CACT,F-SL,F,CACT84,1,1
1984,COPS,-PSB,F,COPS84,0,0
1984,COPS,L-SY,M,COPS84,0,0
1984,CTRN,O-SL,F,CTRN84,1,3
1984,CTRN,R-BZ,M,CTRN84,1,3
1984,CTRW,Y-AZ,F,CTRW84,1,1
1984,CTRW,R-PZ,M,CTRW84,1,1
1984,DBLE,LWS-,M,DBLE84,0,0
1984,DBLE,G-OZ,F,DBLE84,0,0
1984,EBAY,AY-S,F,EBAY84,0,0
1984,EBAY,-WGS,M,EBAY84,0,0
1984,FARS,A-SB,F,FARS84,1,3
1984,FARS,Y-BZ,M,FARS84,1,3
1984,FIRE,WLS-,F,FIRE84,0,0
1984,FIRE,-YAS,M,FIRE84,0,0
1984,IBRN,-WSR,F,IBRN84,0,0
1984,IBRN,-POS,M,IBRN84,0,0
1984,LINS,YBS-,F,LINS84,1,3
1984,LINS,-SYW,M,LINS84,1,3
1984,MBEN,YOS=,F,MBEN84,1,1
1984,MBEN,GLS-,M,MBEN84,1,1
1984,MILW,GS-A,M,MILW84,0,0
1984,MILW,Y-OZ,F,MILW84,0,0
1984,NBEN,O-SY,F,NBEN84,0,0
1984,NBEN,SPG-,M,NBEN84,0,0
1984,NRID,B-SY,F,NRID84,0,0
1984,NRID,ASB-,M,NRID84,0,0
1984,NWES,R-GZ,M,NWES84,1,2
1984,NWES,-OAS,F,NWES84,1,2
1984,PLAZ,P-SL,F,PLAZ84,1,4
1984,PLAZ,SYG-,M,PLAZ84,1,4
1984,POLA,POLAf,F,POLA84,0,0
1984,POLA,-GSW,M,POLA84,0,0
1984,POND,LS-A,F,POND84,1,1
1984,POND,Y-WZ,M,POND84,1,1
1984,RATL,YS-A,F,RATL84,0,0
1984,RATL,Y-GZ,M,RATL84,0,0
1984,ROSE,-BPS,M,ROSE84,1,2
1984,ROSE,YG-S,F,ROSE84,1,2
1984,SAND,-SAY,M,SAND84,1,4
1984,SAND,G-WZ,F,SAND84,1,4
1984,SCOP,Y-PZ,M,SCOP84,1,3
1984,SCOP,SGG-,F,SCOP84,1,3
1984,SFLA,G-LZ,F,SFLA84,1,1
1984,SFLA,A-SL,M,SFLA84,1,1
1984,SIXS,L-SF,M,SIXS84,0,0
1984,SIXS,R-AZ,F,SIXS84,0,0
1984,SORA,G-PZ,F,SORA84,1,1
1984,SORA,SGY-,M,SORA84,1,1
1984,SPLT,Y-FZ,F,SPLT84,0,0
1984,SPLT,RBS-,M,SPLT84,0,0
1984,SSAN,LS-L,M,SSAN84,0,0
1984,SSAN,GS-F,F,SSAN84,0,0
1984,WCOP,SW-G,M,WCOP84,1,1
1984,WCOP,WS-F,F,WCOP84,1,1
1984,WCPR,-PLS,M,WCPR84,1,1
1984,WCPR,-WRS,F,WCPR84,1,1
1984,XRDS,SBR-,F,XRDS84,0,0
1984,XRDS,-SLB,M,XRDS84,0,0
1984,YTRE,W-GZ,F,YTRE84,1,1
1984,YTRE,W-YZ,M,YTRE84,1,1
1985,ARCT,-GPS,F,ARCT85,0,0
1985,ARCT,FFS=,M,ARCT85,0,0
1985,BEND,-RSW,M,BEND85,1,3
1985,BEND,S-PO,F,BEND85,1,3
1985,CABS,OFS=,M,CABS85,0,0
1985,CABS,-ASY,F,CABS85,0,0
1985,CACT,F-SL,F,CACT85,0,0
1985,CACT,A-SO,M,CACT85,0,0
1985,COPS,-PSB,F,COPS85,0,0
1985,COPS,S-OB,M,COPS85,0,0
1985,CTRN,O-SL,F,CTRN85,1,1
1985,CTRN,R-BZ,M,CTRN85,1,1
1985,CTRW,Y-AZ,F,CTRW85,1,2
1985,CTRW,S-LA,M,CTRW85,1,2
1985,EBAY,AY-S,F,EBAY85,0,0
1985,EBAY,-WGS,M,EBAY85,0,0
1985,FARS,A-SB,F,FARS85,1,3
1985,FARS,P-FZ,M,FARS85,1,3
1985,FIRE,WLS-,F,FIRE85,1,3
1985,FIRE,-YAS,M,FIRE85,1,3
1985,IBRN,P-OZ,M,IBRN85,1,1
1985,IBRN,-WSR,F,IBRN85,1,1
1985,LINS,YBS-,F,LINS85,1,3
1985,LINS,-SYW,M,LINS85,1,3
1985,MILW,GS-A,M,MILW85,0,0
1985,MILW,S-BP,F,MILW85,0,0
1985,NBEN,SPG-,M,NBEN85,0,0
1985,NBEN,YOS=,F,NBEN85,0,0
1985,NRID,LWS-,M,NRID85,1,1
1985,NRID,B-SY,F,NRID85,1,1
1985,NWES,-OAS,F,NWES85,1,1
1985,NWES,R-GZ,M,NWES85,1,1
1985,NWSX,YFS-,M,NWSX85,0,0
1985,NWSX,O-WZ,F,NWSX85,0,0
1985,PLAZ,SYG-,M,PLAZ85,1,5
1985,PLAZ,P-SL,F,PLAZ85,1,5
1985,POLA,YS-O,F,POLA85,0,0
1985,POLA,-GSW,M,POLA85,0,0
1985,RATL,YS-A,F,RATL85,0,0
1985,RATL,Y-GZ,M,RATL85,0,0
1985,SAND,-SAY,M,SAND85,1,3
1985,SAND,G-WZ,F,SAND85,1,3
1985,SCOB,B-AZ,F,SCOB85,0,0
1985,SCOB,S-LL,M,SCOB85,0,0
1985,SCOP,S-PP,M,SCOP85,1,3
1985,SCOP,SGG-,F,SCOP85,1,3
1985,SCOP,P-LZ,M,SCOP85,1,3
1985,SIXS,A-SL,M,SIXS85,1,2
1985,SIXS,R-AZ,F,SIXS85,1,2
1985,SORA,PS-F,M,SORA85,1,3
1985,SORA,G-PZ,F,SORA85,1,3
1985,SPLT,Y-FZ,F,SPLT85,0,0
1985,SPLT,RBS-,M,SPLT85,0,0
1985,SSAN,GS-F,F,SSAN85,1,1
1985,SSAN,LS-L,M,SSAN85,1,1
1985,WCOP,SW-G,M,WCOP85,0,0
1985,WCOP,WS-F,F,WCOP85,0,0
1985,WCPR,-WRS,F,WCPR85,0,0
1985,WCPR,6962,M,WCPR85,0,0
1985,WSIX,O-RZ,F,WSIX85,1,2
1985,WSIX,F-YZ,M,WSIX85,1,2
1985,XRDS,SBR-,F,XRDS85,0,0
1985,XRDS,-SLB,M,XRDS85,0,0
1985,YTRE,W-GZ,F,YTRE85,1,1
1985,YTRE,W-YZ,M,YTRE85,1,1
1986,ARCT,-GPS,F,ARCT86,1,6
1986,ARCT,F-PZ,M,ARCT86,1,6
1986,BEND,S-PO,F,BEND86,0,0
1986,BIGL,YS-F,M,BIGL86,1,2
1986,BIGL,S-LP,F,BIGL86,1,2
1986,CABS,OFS=,M,CABS86,1,4
1986,CABS,-ASY,F,CABS86,1,4
1986,CTRW,Y-AZ,F,CTRW86,1,3
1986,CTRW,S-LA,M,CTRW86,1,3
1986,DEER,SR-F,F,DEER86,1,1
1986,DEER,SL-L,M,DEER86,1,1
1986,EBAY,-WGS,M,EBAY86,0,0
1986,EBAY,AY-S,F,EBAY86,0,0
1986,HICR,A-BZ,M,HICR86,1,3
1986,HICR,P-AZ,F,HICR86,1,3
1986,IBRN,-WSR,F,IBRN86,0,0
1986,LINS,-SYW,M,LINS86,1,3
1986,LINS,YBS-,F,LINS86,1,3
1986,MILW,GS-A,M,MILW86,1,2
1986,MILW,S-BP,F,MILW86,1,2
1986,NBEN,YOS=,F,NBEN86,1,4
1986,NBEN,SPG-,M,NBEN86,1,4
1986,NRID,YPS-,F,NRID86,0,0
1986,NRID,S-WB,M,NRID86,0,0
1986,NWES,-OAS,F,NWES86,1,2
1986,NWES,S-WO,M,NWES86,1,2
1986,NWSX,O-WZ,F,NWSX86,1,3
1986,NWSX,YFS-,M,NWSX86,1,3
1986,PLAZ,-SAY,M,PLAZ86,1,4
1986,PLAZ,WLS-,F,PLAZ86,1,4
1986,PLOT,S-OO,M,PLOT86,1,3
1986,PLOT,SP-F,F,PLOT86,1,3
1986,POLA,-GSW,M,POLA86,1,2
1986,POLA,YSR=,F,POLA86,1,2
1986,POLA,YS-O,F,POLA86,1,2
1986,SARA,L-FZ,M,SARA86,1,1
1986,SARA,P-BZ,F,SARA86,1,1
1986,SCOB,S-LL,M,SCOB86,0,0
1986,SCOB,B-AZ,F,SCOB86,0,0
1986,SCOP,S-PP,M,SCOP86,1,2
1986,SCOP,SGG-,F,SCOP86,1,2
